                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.68127,                0.38763,                0.94323,                0.99776,                      1,                  0.995,                0.77596,                0.93607,                0.38582,                 1.0712,              0.0012872,              0.0012872,              0.0012872
                     38,                0.67935,                0.36893,                0.93858,                0.99773,                      1,                  0.995,                0.81691,                0.78343,                 0.3557,                0.98612,              0.0012674,              0.0012674,              0.0012674
                     39,                0.66667,                0.37181,                0.93967,                0.99769,                      1,                  0.995,                0.80364,                0.84961,                0.34509,                0.99659,              0.0012476,              0.0012476,              0.0012476
                     40,                0.64843,                0.36354,                0.91669,                0.99773,                      1,                  0.995,                0.79153,                0.91591,                0.37555,                 1.0411,              0.0012278,              0.0012278,              0.0012278
                     41,                0.66816,                0.37846,                0.94195,                0.99774,                      1,                  0.995,                0.69829,                  1.243,                0.41232,                 1.1548,               0.001208,               0.001208,               0.001208
                     42,                0.67365,                0.38007,                0.93104,                0.99759,                      1,                  0.995,                0.76995,                0.99782,                0.38432,                 1.0727,              0.0011882,              0.0011882,              0.0011882
                     43,                 0.6773,                0.37274,                0.93647,                0.99776,                      1,                  0.995,                0.77056,                 1.0205,                0.36562,                 1.1123,              0.0011684,              0.0011684,              0.0011684
                     44,                0.64021,                0.36849,                0.91836,                0.99767,                      1,                  0.995,                0.78053,                0.88283,                0.34503,                  1.055,              0.0011486,              0.0011486,              0.0011486
                     45,                0.64121,                0.35369,                0.92113,                0.99774,                      1,                  0.995,                0.80214,                 0.8339,                0.38047,                 1.0131,              0.0011288,              0.0011288,              0.0011288
                     46,                0.66748,                0.36966,                0.93025,                0.99799,                      1,                  0.995,                0.85432,                0.66602,                0.39423,                0.91493,               0.001109,               0.001109,               0.001109
                     47,                0.64739,                0.35258,                0.92878,                 0.9612,                      1,                  0.995,                0.84543,                0.60739,                0.32294,                0.90069,              0.0010892,              0.0010892,              0.0010892
                     48,                0.63859,                0.35101,                0.90907,                0.99766,                      1,                  0.995,                0.85026,                0.66282,                 0.3018,                 0.9254,              0.0010694,              0.0010694,              0.0010694
                     49,                0.64925,                0.34329,                0.93077,                0.99775,                      1,                  0.995,                0.76042,                0.94699,                0.36105,                 1.0541,              0.0010496,              0.0010496,              0.0010496
