                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.81547,                0.39309,                0.99917,                0.99965,                      1,                  0.995,                0.69875,                 1.2268,                0.38327,                 1.1107,               0.006436,               0.006436,               0.006436
                     38,                 0.8116,                 0.3899,                0.99766,                0.99965,                      1,                  0.995,                0.69286,                 1.2533,                0.40493,                 1.1405,               0.006337,               0.006337,               0.006337
                     39,                0.81394,                 0.3886,                0.99243,                0.99969,                      1,                  0.995,                0.68902,                 1.2693,                0.39653,                 1.1494,               0.006238,               0.006238,               0.006238
                     40,                 0.8026,                0.38437,                0.98549,                0.99922,                      1,                  0.995,                0.69284,                 1.2431,                0.44894,                 1.1354,               0.006139,               0.006139,               0.006139
                     41,                0.81516,                0.38703,                0.99587,                0.99042,                      1,                0.99495,                0.70155,                 1.2409,                0.42918,                 1.1201,                0.00604,                0.00604,                0.00604
                     42,                0.80066,                0.37728,                0.98522,                0.98728,                      1,                  0.995,                0.70232,                 1.2215,                0.45482,                 1.1071,               0.005941,               0.005941,               0.005941
                     43,                0.79605,                0.37693,                0.98661,                      1,                      1,                  0.995,                0.68788,                 1.2712,                0.42745,                 1.1464,               0.005842,               0.005842,               0.005842
                     44,                0.80922,                0.38259,                0.99286,                0.99962,                      1,                  0.995,                0.69388,                 1.2594,                0.41228,                 1.1391,               0.005743,               0.005743,               0.005743
                     45,                0.79748,                0.37594,                0.98047,                      1,                      1,                  0.995,                0.68222,                 1.2909,                0.55929,                 1.1714,               0.005644,               0.005644,               0.005644
                     46,                0.78834,                0.37497,                0.97911,                0.99926,                      1,                  0.995,                0.68671,                 1.2573,                 0.4247,                 1.1448,               0.005545,               0.005545,               0.005545
                     47,                0.79305,                 0.3722,                0.98411,                0.96491,                0.99548,                0.99424,                0.68712,                 1.2519,                0.59384,                 1.1312,               0.005446,               0.005446,               0.005446
                     48,                0.79883,                0.36917,                0.98477,                      1,                      1,                  0.995,                0.69177,                  1.286,                0.41996,                 1.1229,               0.005347,               0.005347,               0.005347
                     49,                0.78937,                0.37067,                0.99323,                      1,                      1,                  0.995,                0.68561,                 1.2893,                 0.5625,                  1.145,               0.005248,               0.005248,               0.005248
                     50,                0.77489,                0.36307,                0.97773,                      1,                      1,                  0.995,                0.69302,                 1.2673,                0.52957,                 1.1603,               0.005149,               0.005149,               0.005149
                     51,                0.78026,                0.36382,                 0.9742,                      1,                0.99916,                  0.995,                 0.6789,                 1.3249,                0.44476,                 1.1558,                0.00505,                0.00505,                0.00505
                     52,                0.77898,                0.36387,                0.98499,                0.99967,                      1,                  0.995,                0.68979,                 1.2613,                0.38933,                 1.1393,               0.004951,               0.004951,               0.004951
                     53,                0.78189,                0.36025,                 0.9797,                0.99964,                      1,                  0.995,                0.69581,                 1.2676,                 0.3919,                 1.1375,               0.004852,               0.004852,               0.004852
                     54,                0.78034,                0.36243,                0.97528,                0.99958,                      1,                  0.995,                0.69808,                 1.2279,                  0.396,                 1.1178,               0.004753,               0.004753,               0.004753
                     55,                0.76593,                0.35117,                0.96864,                0.99937,                      1,                  0.995,                 0.7036,                 1.2477,                0.40169,                 1.1173,               0.004654,               0.004654,               0.004654
                     56,                0.77229,                0.35131,                0.97113,                      1,                      1,                  0.995,                0.70979,                 1.2348,                0.54007,                 1.1091,               0.004555,               0.004555,               0.004555
                     57,                0.76988,                0.35092,                0.97113,                0.98661,                      1,                  0.995,                0.70503,                 1.2246,                0.53087,                 1.1174,               0.004456,               0.004456,               0.004456
                     58,                  0.772,                0.35369,                0.97349,                0.97357,                      1,                  0.995,                0.69836,                 1.2437,                 0.4892,                 1.1342,               0.004357,               0.004357,               0.004357
                     59,                0.76532,                0.34752,                0.97013,                      1,                      1,                  0.995,                0.69803,                 1.2632,                0.63518,                 1.1352,               0.004258,               0.004258,               0.004258
                     60,                0.75435,                0.34401,                0.97041,                      1,                0.95023,                0.97509,                0.68475,                 1.2734,                0.66448,                 1.1408,               0.004159,               0.004159,               0.004159
                     61,                0.75831,                0.34635,                0.96546,                 0.9955,                      1,                  0.995,                0.69586,                 1.2666,                0.56833,                  1.129,                0.00406,                0.00406,                0.00406
                     62,                0.75257,                0.34359,                0.96467,                      1,                      1,                  0.995,                0.69605,                 1.2488,                0.48853,                 1.1257,               0.003961,               0.003961,               0.003961
                     63,                0.74659,                0.33632,                 0.9636,                      1,                      1,                  0.995,                0.69706,                 1.2435,                  0.535,                  1.132,               0.003862,               0.003862,               0.003862
                     64,                0.75589,                0.33787,                0.95886,                      1,                      1,                  0.995,                0.69665,                 1.2397,                0.57803,                 1.1266,               0.003763,               0.003763,               0.003763
                     65,                0.75379,                0.34009,                0.96287,                      1,                      1,                  0.995,                 0.7029,                 1.2442,                0.46331,                 1.1161,               0.003664,               0.003664,               0.003664
                     66,                0.75168,                0.33984,                0.96378,                      1,                      1,                  0.995,                0.69763,                 1.2527,                0.48683,                 1.1263,               0.003565,               0.003565,               0.003565
                     67,                0.75134,                0.33674,                0.96593,                      1,                      1,                  0.995,                0.70571,                 1.2389,                0.46617,                 1.1231,               0.003466,               0.003466,               0.003466
                     68,                0.74276,                0.33387,                0.96573,                      1,                      1,                  0.995,                0.70214,                 1.2444,                0.47304,                 1.1202,               0.003367,               0.003367,               0.003367
                     69,                0.74441,                0.33496,                0.96662,                      1,                      1,                  0.995,                0.68434,                 1.2971,                 0.4214,                 1.1427,               0.003268,               0.003268,               0.003268
                     70,                0.74227,                0.33019,                 0.9584,                      1,                      1,                  0.995,                0.68584,                 1.2901,                0.46315,                 1.1365,               0.003169,               0.003169,               0.003169
                     71,                0.73712,                0.33013,                0.95904,                      1,                      1,                  0.995,                0.69264,                 1.2858,                0.50261,                 1.1423,                0.00307,                0.00307,                0.00307
                     72,                0.73841,                0.32477,                 0.9514,                      1,                      1,                  0.995,                0.69223,                 1.2948,                0.51141,                 1.1442,               0.002971,               0.002971,               0.002971
                     73,                0.73157,                0.32501,                0.95305,                      1,                      1,                  0.995,                0.68473,                 1.3148,                0.52614,                  1.157,               0.002872,               0.002872,               0.002872
                     74,                0.73157,                0.32614,                0.95856,                      1,                      1,                  0.995,                0.68654,                 1.3164,                0.51387,                 1.1508,               0.002773,               0.002773,               0.002773
                     75,                 0.7328,                0.32423,                0.95575,                      1,                      1,                  0.995,                0.68438,                   1.31,                0.51945,                 1.1415,               0.002674,               0.002674,               0.002674
                     76,                0.73199,                0.32204,                0.95505,                      1,                      1,                  0.995,                0.68454,                 1.3212,                0.48382,                  1.142,               0.002575,               0.002575,               0.002575
